127.0.0.1 - - [23/May/2021:01:25:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/May/2021:01:26:03 +0530] "GET /32ImplementingAuthorization/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [23/May/2021:01:26:32 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 401 31
0:0:0:0:0:0:0:1 - - [23/May/2021:01:26:44 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 500 2812
0:0:0:0:0:0:0:1 - - [23/May/2021:01:27:27 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 500 2812
0:0:0:0:0:0:0:1 - - [23/May/2021:01:30:55 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 500 2812
0:0:0:0:0:0:0:1 - - [23/May/2021:01:33:16 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:33:29 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:33:31 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:33:32 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:33:40 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:33:42 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:33:57 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:33:58 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:34:03 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:34:32 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 401 31
0:0:0:0:0:0:0:1 - - [23/May/2021:01:34:39 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:34:41 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:35:17 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:35:29 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:36:32 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:36:42 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:37:20 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:37:21 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:37:36 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:38:43 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/May/2021:01:39:49 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 401 31
0:0:0:0:0:0:0:1 - - [23/May/2021:01:40:15 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 401 31
0:0:0:0:0:0:0:1 - - [23/May/2021:01:40:21 +0530] "GET /32ImplementingAuthorization/webapi/secured/message HTTP/1.1" 401 31
